subject,sentence_type,trial_type,violation_type,violation_position,condition,error_rate
6,embedding_mental_LR,Acceptable,N1,other,PPP,
6,embedding_mental_LR,Acceptable,N1,other,PPS,
6,embedding_mental_LR,Acceptable,N1,other,PSP,
6,embedding_mental_LR,Acceptable,N1,other,PSS,
6,embedding_mental_LR,Acceptable,N1,other,SPP,
6,embedding_mental_LR,Acceptable,N1,other,SPS,
6,embedding_mental_LR,Acceptable,N1,other,SSP,
6,embedding_mental_LR,Acceptable,N1,other,SSS,
6,embedding_mental_LR,Acceptable,N2,other,PPP,
6,embedding_mental_LR,Acceptable,N2,other,PPS,
6,embedding_mental_LR,Acceptable,N2,other,PSP,
6,embedding_mental_LR,Acceptable,N2,other,PSS,
6,embedding_mental_LR,Acceptable,N2,other,SPP,
6,embedding_mental_LR,Acceptable,N2,other,SPS,
6,embedding_mental_LR,Acceptable,N2,other,SSP,
6,embedding_mental_LR,Acceptable,N2,other,SSS,
6,embedding_mental_LR,Acceptable,NaN,other,PPP,0.0
6,embedding_mental_LR,Acceptable,NaN,other,PPS,0.0
6,embedding_mental_LR,Acceptable,NaN,other,PSP,0.0
6,embedding_mental_LR,Acceptable,NaN,other,PSS,0.2
6,embedding_mental_LR,Acceptable,NaN,other,SPP,0.0
6,embedding_mental_LR,Acceptable,NaN,other,SPS,0.0
6,embedding_mental_LR,Acceptable,NaN,other,SSP,0.0
6,embedding_mental_LR,Acceptable,NaN,other,SSS,0.0
6,embedding_mental_LR,Acceptable,V1,other,PPP,
6,embedding_mental_LR,Acceptable,V1,other,PPS,
6,embedding_mental_LR,Acceptable,V1,other,PSP,
6,embedding_mental_LR,Acceptable,V1,other,PSS,
6,embedding_mental_LR,Acceptable,V1,other,SPP,
6,embedding_mental_LR,Acceptable,V1,other,SPS,
6,embedding_mental_LR,Acceptable,V1,other,SSP,
6,embedding_mental_LR,Acceptable,V1,other,SSS,
6,embedding_mental_LR,Acceptable,V2,inner,PPP,
6,embedding_mental_LR,Acceptable,V2,inner,PPS,
6,embedding_mental_LR,Acceptable,V2,inner,PSP,
6,embedding_mental_LR,Acceptable,V2,inner,PSS,
6,embedding_mental_LR,Acceptable,V2,inner,SPP,
6,embedding_mental_LR,Acceptable,V2,inner,SPS,
6,embedding_mental_LR,Acceptable,V2,inner,SSP,
6,embedding_mental_LR,Acceptable,V2,inner,SSS,
6,embedding_mental_LR,Filler,N1,other,PPP,
6,embedding_mental_LR,Filler,N1,other,PPS,
6,embedding_mental_LR,Filler,N1,other,PSP,
6,embedding_mental_LR,Filler,N1,other,PSS,
6,embedding_mental_LR,Filler,N1,other,SPP,
6,embedding_mental_LR,Filler,N1,other,SPS,
6,embedding_mental_LR,Filler,N1,other,SSP,
6,embedding_mental_LR,Filler,N1,other,SSS,
6,embedding_mental_LR,Filler,N2,other,PPP,
6,embedding_mental_LR,Filler,N2,other,PPS,0.0
6,embedding_mental_LR,Filler,N2,other,PSP,
6,embedding_mental_LR,Filler,N2,other,PSS,
6,embedding_mental_LR,Filler,N2,other,SPP,0.3333333333333333
6,embedding_mental_LR,Filler,N2,other,SPS,0.0
6,embedding_mental_LR,Filler,N2,other,SSP,0.0
6,embedding_mental_LR,Filler,N2,other,SSS,0.0
6,embedding_mental_LR,Filler,NaN,other,PPP,
