UniqueConditionAggragated,FreqConditions_1,FreqConditions_2,FreqConditions_3,FreqConditions_4,FreqConditions_5,FreqConditions_6,LengthConditions_1,LengthConditions_2,LengthConditions_3,LengthConditions_4,LengthConditions_5,LengthConditions_6
embedding_mental_SR_PP,6.49070844487181,7.19204762173259,7.98718078654495,5.70947928191279,9.13251535343642,NaN,6.78571428571429,8.14285714285714,6.42857142857143,7.85714285714286,6.78571428571429,NaN
embedding_mental_SR_PS,7.85387896916877,7.12747236781669,9.69461729832809,7.3164014830352,8.66783509737268,NaN,7.5,8.15,6,6.55,6.95,NaN
embedding_mental_SR_SP,9.18765175186538,9.42986461770298,8.34295274312825,6.24862342181848,9.42363691019185,NaN,6.57142857142857,5.71428571428571,6.42857142857143,7.35714285714286,6.35714285714286,NaN
embedding_mental_SR_SS,8.7728569220858,9.12621526502441,9.22431276953194,5.52805431688912,8.97285701369762,NaN,6.5,6.41666666666667,6.91666666666667,7.91666666666667,7.08333333333333,NaN
embedding_mental____PPP,9.21245233229864,7.10215497751145,7.97584221328947,7.69144629773529,5.66798682287977,9.33819263482408,6.35714285714286,8.14285714285714,6.57142857142857,7.42857142857143,8.07142857142857,6.21428571428571
embedding_mental____PPS,7.67493584117674,6.40807383458094,7.76351705094731,9.94867974268944,6.24770782390032,8.82743332160488,6.6875,8.8125,6.6875,6,7.5,6.8125
embedding_mental____PSP,8.661626026734,7.31494832517585,9.58507656746825,8.87757159436471,6.71168003140885,8.54154293886102,6.57142857142857,8,6.5,6.35714285714286,6.78571428571429,6.64285714285714
embedding_mental____PSS,8.12328094554025,7.05299469613415,9.8766447870524,8.38345925040401,6.50469061444511,9.47243009741347,6.93333333333333,8.2,6.6,7.26666666666667,6.93333333333333,6.6
embedding_mental____SPP,8.98632668675635,9.30664282989532,7.87584199693004,7.91738599821255,5.74532463922088,7.97025968643999,6.92857142857143,5.92857142857143,7,6.28571428571429,7.78571428571429,7.14285714285714
embedding_mental____SPS,10.2159982095295,8.78348568585183,7.31777655979082,8.47129201398667,5.78771149452474,8.66028958825019,6.25,6.25,7.25,7.5,7.625,6.9375
embedding_mental____SSP,8.78324169220774,8.18469911617424,9.18638235544253,7.71894612553395,6.3041868466831,9.0055406826934,6.5,7.0625,6.6875,6.9375,8.125,6.9375
embedding_mental____SSS,9.20057528021442,9.75567019398197,8.35298603077554,9.54259754158302,6.66102390777357,9.17681707084922,7,5.2,7.06666666666667,7,7.33333333333333,6.2
objrel_nounpp_______PPP,8.71714680583384,7.52547814934415,8.84698122794202,6.22352078358839,5.66568044655818,8.89437033329056,6.73333333333333,7.2,6.46666666666667,7.56666666666667,8.33333333333333,6.36666666666667
objrel_nounpp_______PPS,7.99807888415925,8.38718705835354,8.86686347835371,5.6184153344962,5.95301766351315,8.85614168358423,6.63333333333333,6.63333333333333,6.83333333333333,8.56666666666667,8,7
objrel_nounpp_______PSP,8.04983479823204,8.63563328129591,8.84637014262536,6.44566299312332,5.36262337902703,8.31442424166177,6.92307692307692,6.80769230769231,6.57692307692308,6.69230769230769,8.61538461538461,7.34615384615385
objrel_nounpp_______PSS,7.82236781545546,9.42658382644665,9.29884378847977,7.09434867221887,5.84197762800396,8.74933468162701,6.48484848484848,6.57575757575758,6.93939393939394,6.78787878787879,8.24242424242424,6.36363636363636
objrel_nounpp_______SPP,9.51731750359555,7.94335349167253,8.41094463537757,6.35082217843992,6.7643591911425,9.27211668701106,6.67741935483871,6.96774193548387,6.38709677419355,7.54838709677419,7.09677419354839,6.61290322580645
objrel_nounpp_______SPS,9.41252495862983,8.07356720068356,9.14883693321126,5.80386833284904,7.03457991190677,9.06338632034764,6.88235294117647,7.14705882352941,6.94117647058824,8.32352941176471,6.94117647058824,6.67647058823529
objrel_nounpp_______SSP,9.48872393243088,9.02763763665125,8.06654154871047,6.90703942895283,6.71533148448666,9.18825410982729,7.07142857142857,7.14285714285714,6.96428571428571,7.10714285714286,7.21428571428571,6.28571428571429
objrel_nounpp_______SSS,9.53672107256119,9.20085547763955,9.62468968028563,7.11987062258908,6.64267429540499,8.76901883858799,6.67857142857143,7.03571428571429,6.42857142857143,7.14285714285714,7.21428571428571,6.60714285714286
objrel_that_________PP,7.45881871629728,7.47401993645728,5.70646686142596,6.17692532877534,9.59198314379466,NaN,7.74074074074074,7.25925925925926,8.11111111111111,8.11111111111111,6.51851851851852,NaN
objrel_that_________PS,8.09527491492018,9.1981029082783,6.33017143011405,6.14160384587788,9.34851882452411,NaN,6.75862068965517,7.20689655172414,7.03448275862069,8.24137931034483,6.55172413793103,NaN
objrel_that_________SP,9.09389893152884,7.49093734055777,6.02486518470735,6.98049750546186,9.20235189666896,NaN,7,7.35483870967742,8.09677419354839,6.83870967741935,6.58064516129032,NaN
objrel_that_________SS,8.55063894019821,9.72050657963415,7.01825970174541,6.87044055185867,9.25871144431493,NaN,7.03030303030303,6.78787878787879,7.42424242424242,6.96969696969697,6.3030303030303,NaN
