UniqueConditionAggragated,FreqConditions_1,FreqConditions_2,FreqConditions_3,FreqConditions_4,FreqConditions_5,FreqConditions_6,LengthConditions_1,LengthConditions_2,LengthConditions_3,LengthConditions_4,LengthConditions_5,LengthConditions_6
embedding_mental_SR_PP,8.11299464618637,7.1233312383999,7.91322626775581,7.17154481165395,9.00391031346289,NaN,7.69230769230769,8.23076923076923,6.84615384615385,7.53846153846154,6.69230769230769,NaN
embedding_mental_SR_PS,8.58198282139752,8.07784051869086,9.42378137296914,6.42289631176425,8.83651867650107,NaN,5.94117647058824,7.35294117647059,6.76470588235294,7.47058823529412,6.94117647058824,NaN
embedding_mental_SR_SP,8.35559285258162,9.22632537488511,8.31529797859175,6.14792190683168,8.79489299065258,NaN,7.0625,5.9375,6.625,7.6875,6.25,NaN
embedding_mental_SR_SS,9.11951828129873,9.04698390375831,9.27422660796875,6.332934512233,8.69924054130807,NaN,7.5,5.85714285714286,7.21428571428571,6.85714285714286,6.85714285714286,NaN
embedding_mental____PPP,8.13180720293727,6.67077376609908,7.97454606391889,8.18850233512873,6.80187053876433,7.98900649613055,6.41666666666667,8.58333333333333,6.83333333333333,6.41666666666667,7.75,7.33333333333333
embedding_mental____PPS,8.32294189551332,6.7664609264038,6.94494915783149,9.40997347334962,5.97870315434946,8.06609022793083,6.07142857142857,8.42857142857143,7.71428571428571,6.85714285714286,7.71428571428571,6.78571428571429
embedding_mental____PSP,7.98699904299673,7.45020894510769,9.50169055123217,8.80908142625041,6.80381130263496,9.5086502897883,6.66666666666667,7.93333333333333,6.6,6.86666666666667,7.2,6.33333333333333
embedding_mental____PSS,8.25415098427654,6.14266304759969,9.20265020833494,9.99871773971877,7.03636714235567,8.87895054431958,7.11764705882353,9,6.76470588235294,5.94117647058824,7.23529411764706,6.82352941176471
embedding_mental____SPP,9.4076221428232,9.34697852356683,7.89415990748008,8.47576367555154,6.11100750628819,9.22445462316173,7.33333333333333,5.66666666666667,7.26666666666667,6.93333333333333,8.06666666666667,6
embedding_mental____SPS,9.88188203051716,8.84317693387092,7.70387955104904,9.18088563212612,5.77063862541832,8.85545958438132,6.375,6.375,7,7.1875,8.375,6.3125
embedding_mental____SSP,9.59054675962259,8.92376211595065,8.91589443700471,7.68579365762946,6.51955611684789,9.57132815482628,6.85714285714286,6.07142857142857,7.14285714285714,7.42857142857143,6.71428571428571,5.71428571428571
embedding_mental____SSS,9.2998757664439,8.44394288772757,9.1857745966676,9.15798596841294,6.96233467004436,8.79153875585967,6.94117647058824,6.70588235294118,7.35294117647059,6.64705882352941,7.05882352941176,6.35294117647059
objrel_nounpp_______PPP,8.29836087200995,8.12923146363207,8.17815174176979,5.64660582484641,5.79786699880013,8.6120285271791,6.21428571428571,6.71428571428571,6.89285714285714,8.25,7.96428571428571,6.92857142857143
objrel_nounpp_______PPS,8.57589896594055,8.49196426436512,9.5241028041722,6.31466299645383,5.73196034870498,8.2833246196471,6.48,7.08,6.68,7.64,7.72,7.16
objrel_nounpp_______PSP,7.68963525872271,8.95999851742066,7.7673995954835,6.66681903183639,6.41520574007126,8.10462880469554,6.72727272727273,6.78787878787879,6.81818181818182,6.54545454545455,8.18181818181818,6.90909090909091
objrel_nounpp_______PSS,7.61266862667406,8.88467133671877,9.33705945988746,7.11701382410697,6.03100602239827,9.31250309175,6.79310344827586,7.24137931034483,6.58620689655172,6.89655172413793,7.93103448275862,6.27586206896552
objrel_nounpp_______SPP,9.53777499361197,7.31616845127569,8.42680646451239,6.04539862934494,6.75234434972778,9.23152847963584,6.40540540540541,7.56756756756757,6.48648648648649,8.32432432432432,6.72972972972973,6.59459459459459
objrel_nounpp_______SPS,9.62845205648475,8.58481767400162,9.65492508991623,6.46848658236667,6.74787620854143,9.12066019420427,6.46875,6.78125,6.6875,7.65625,7.0625,6.46875
objrel_nounpp_______SSP,9.20774311709215,9.5334862946175,7.52487995345903,7.16530893852127,6.72422884288798,8.69321531813835,6.36,6.56,6.96,6.6,7,6.68
objrel_nounpp_______SSS,9.68930196872993,8.67981292330947,9.50458750069079,6.46517809627419,6.95448197513172,9.37729646154617,6.90322580645161,7.06451612903226,6.70967741935484,6.80645161290323,6.67741935483871,6.09677419354839
objrel_that_________PP,8.07073500294375,8.12096429478688,6.44609203754825,5.77767552480807,8.27671345118198,NaN,7.44,6.64,7.6,7.4,7.52,NaN
objrel_that_________PS,8.27096466181937,9.19688187440712,6.79716941954854,6.21826390101577,9.60259592013171,NaN,6.45161290322581,6.54838709677419,6.64516129032258,7.93548387096774,6.67741935483871,NaN
objrel_that_________SP,9.4150029404103,7.31667449662885,5.81879334856963,6.79163943570451,8.48405795453676,NaN,6.78125,6.71875,8.40625,7.34375,7.09375,NaN
objrel_that_________SS,9.32452269500743,9.82558115084732,6.81224837902563,7.07300503847576,8.970251950238,NaN,6.625,6.65625,7.1875,6.46875,6.375,NaN
