UniqueConditionAggragated,FreqConditions_1,FreqConditions_2,FreqConditions_3,FreqConditions_4,FreqConditions_5,FreqConditions_6,LengthConditions_1,LengthConditions_2,LengthConditions_3,LengthConditions_4,LengthConditions_5,LengthConditions_6
embedding_mental_SR_PP,7.48145239534701,7.02442047583869,7.66780254828538,6.73406464493329,9.38718339441298,NaN,6.875,8.1875,7.1875,6.875,6.375,NaN
embedding_mental_SR_PS,7.46270427971759,6.64356022296054,9.78637216760749,6.61910761780065,9.4839355985018,NaN,7.42857142857143,8.57142857142857,6.64285714285714,6.78571428571429,6.5,NaN
embedding_mental_SR_SP,9.14408971490862,9.29564218616673,8.16894570801809,6.33508696232022,8.56920988766368,NaN,7.26666666666667,6,5.93333333333333,7.6,6.4,NaN
embedding_mental_SR_SS,8.93669015045448,8.05723284776773,9.50570971776236,7.32541481084937,8.86982460420075,NaN,7.4,6.93333333333333,6.73333333333333,6.46666666666667,7.33333333333333,NaN
embedding_mental____PPP,7.05340103968141,6.41426284568509,8.4204597459751,7.56654347282298,6.52789090642318,9.02867188038373,7.14285714285714,8.78571428571429,6.64285714285714,7.21428571428571,7.28571428571429,6.35714285714286
embedding_mental____PPS,7.57505397662309,6.59443903130056,7.96451889062475,9.76184132334873,6.04855882182432,9.10776012971485,7.72222222222222,8.61111111111111,6.66666666666667,6.77777777777778,8.05555555555556,6.38888888888889
embedding_mental____PSP,8.37983506041901,7.11751756544186,7.86235059409722,7.74409394978544,6.46000861368978,9.0452142474509,6.6875,8.125,6.8125,7.125,7.3125,6
embedding_mental____PSS,8.13653811882307,7.02652377539253,9.31204056480094,9.07033627901149,7.01777182166033,9.99428613777085,6.38461538461539,8.23076923076923,6.46153846153846,6.92307692307692,6.61538461538461,5.53846153846154
embedding_mental____SPP,9.73384040958205,9.23197152161302,8.11824121227155,8.45769378452224,5.74857199243777,8.11768177728944,6.13333333333333,5.86666666666667,7.4,5.86666666666667,8.26666666666667,7.46666666666667
embedding_mental____SPS,9.23664897625258,8.64460218469038,7.62198538934009,8.62648679769064,6.88319843494625,9.08099544714541,6.53333333333333,6.4,7.13333333333333,7.33333333333333,7.6,6.4
embedding_mental____SSP,9.82232394348324,8.09656856663045,9.00525860413723,8.0445270950635,6.07901586665732,7.74147416257253,6.76923076923077,6.84615384615385,6.84615384615385,6.61538461538461,7.30769230769231,6.38461538461539
embedding_mental____SSS,9.69844043058826,8.84317693387092,9.61913253414296,8.64031516338953,6.62813746364709,8.93961964467949,6.4375,6.375,6.375,7.5625,7.125,6.875
objrel_nounpp_______PPP,7.59046214989129,8.06212152914157,8.57038976520487,5.48684218521133,5.44870078652467,9.04116273541132,6.57142857142857,7,6.39285714285714,8.17857142857143,7.78571428571429,6.46428571428571
objrel_nounpp_______PPS,7.56175990837568,7.67842041848163,9.54720916340097,5.78329370298372,6.10752593857416,8.55917344391071,7,6.67741935483871,6.70967741935484,8.16129032258065,7.83870967741935,6.64516129032258
objrel_nounpp_______PSP,8.30069781192678,9.33069131580956,8.03747126992864,6.46756962694793,6.12811131892652,8.75707912587216,6.86206896551724,6.86206896551724,6.96551724137931,6.72413793103448,7.86206896551724,6.68965517241379
objrel_nounpp_______PSS,7.56420190928225,9.39605446316318,9.5785628691014,6.4040038431381,6.26514311791317,9.18682013077377,7.06666666666667,6.83333333333333,6.46666666666667,7.43333333333333,8.2,6.3
objrel_nounpp_______SPP,8.83055059869649,7.90142039566501,8.37528875929061,6.01101814252079,6.85940612659111,9.06358212465123,6.93103448275862,6.93103448275862,6.3448275862069,7.62068965517241,7,6.13793103448276
objrel_nounpp_______SPS,9.14446462870765,8.37427269672427,9.3879637890669,5.38787722834447,6.54571957457365,8.80285118019437,6.75862068965517,7.13793103448276,6.75862068965517,8.41379310344828,6.72413793103448,6.44827586206897
objrel_nounpp_______SSP,9.9034277576146,8.38886051058146,8.14339810736511,7.18245174047935,7.33545664981341,8.85601210360772,6.37931034482759,6.93103448275862,6.75862068965517,6.27586206896552,6.72413793103448,6.68965517241379
objrel_nounpp_______SSS,9.18064808487926,9.42118066977892,9.25160607463997,7.04795710037482,6.59342010160648,8.55614784002567,6.91428571428571,6.68571428571429,6.97142857142857,6.8,6.97142857142857,6.74285714285714
objrel_that_________PP,8.07652614117961,8.54443296181168,5.79543820251359,6.05843523485321,8.81606813264579,NaN,6.82352941176471,6.41176470588235,8.08823529411765,7.91176470588235,6.29411764705882,NaN
objrel_that_________PS,7.11930119897148,9.18167287160304,7.32171434406891,5.82187444570947,9.44449405422425,NaN,7.03333333333333,6.5,6.96666666666667,8.26666666666667,6.56666666666667,NaN
objrel_that_________SP,8.43326405476023,8.07362215720632,6.57569345461299,6.41795661411125,8.69876084995251,NaN,7.13793103448276,7,7.89655172413793,7.17241379310345,6.93103448275862,NaN
objrel_that_________SS,8.51793419150046,9.63040902592673,7.78454375513174,6.70555138335513,9.33708606135395,NaN,7.18518518518519,6.33333333333333,6.74074074074074,7.40740740740741,6.7037037037037,NaN
